persona_key,name,role_text,category,ambiguous,alternative_category,justification,model,protocol_sha256
fai2_dylan_hadfieldmenell,Dylan Hadfield-Menell,is a professor at MIT researching value alignment (MIT),scrutiny,False,,He is primarily known for value alignment research at MIT.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_max_tegmark,Max Tegmark,is a professor at MIT and president of the Future of Life Institute (MIT),scrutiny,False,,His most prominent current role is leading the Future of Life Institute's AI risk advocacy and governance push.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_eliezer_yudkowsky,Eliezer Yudkowsky,is the founder of the Machine Intelligence Research Institute and a longtime writer on AI alignment (MIRI),scrutiny,False,,He is the best-known public writer and advocate on AI alignment and existential risk.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_nate_soares,Nate Soares,is the president of the Machine Intelligence Research Institute (MIRI),scrutiny,False,,"He leads MIRI, an organization whose sole public work is AI alignment and risk warning.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_paul_christiano,Paul Christiano,"is the founder of the Alignment Research Center, known for RLHF and alignment research (Alignment Research Center)",scrutiny,False,capabilities,"Despite RLHF contributions, his primary public identity is alignment research leadership at ARC and the US AI Safety Institute.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_beth_barnes,Beth Barnes,"is the founder of METR, which evaluates frontier models for dangerous capabilities (METR)",scrutiny,False,,"She founded METR, whose main work is dangerous-capability evaluation of frontier models.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_marius_hobbhahn,Marius Hobbhahn,"is the CEO of Apollo Research, which studies deceptive alignment in frontier models (Apollo Research)",scrutiny,False,business,"Although a CEO, the role text names deceptive-alignment evaluation research as the organization's core work.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_geoffrey_irving,Geoffrey Irving,is the chief scientist of the UK AI Security Institute (UK AISI),scrutiny,False,,"Chief scientist of a national AI safety/security institute, a safety-evaluation role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_ian_hogarth,Ian Hogarth,chairs the UK AI Security Institute and co-authors the State of AI report (UK AISI),scrutiny,True,business,"Chairs the UK AI Security Institute (governance oversight), though he is also known as an investor and State of AI co-author.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_owain_evans,Owain Evans,"runs Truthful AI, researching situational awareness and honesty in LLMs (Truthful AI)",scrutiny,False,,"Leads research on LLM honesty and situational awareness, a safety/evaluation research identity.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_dan_hendrycks,Dan Hendrycks,is the director of the Center for AI Safety (CAIS),scrutiny,False,,"Directs the Center for AI Safety, an explicitly safety-focused organization.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_buck_shlegeris,Buck Shlegeris,"is the CEO of Redwood Research, working on AI control (Redwood Research)",scrutiny,False,business,"CEO of a nonprofit whose named main work is AI control, a safety agenda.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_ryan_greenblatt,Ryan Greenblatt,"is the chief scientist of Redwood Research, known for the alignment-faking experiments (Redwood Research)",scrutiny,False,,Alignment researcher known for alignment-faking safety experiments.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_stella_biderman,Stella Biderman,is the executive director of EleutherAI (EleutherAI),capabilities,True,scrutiny,"Leads EleutherAI's open-model training and interpretability-adjacent research, best known for open LLM development rather than a safety-critic identity.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_zvi_mowshowitz,Zvi Mowshowitz,writes the widely-read Don't Worry About the Vase newsletter on AI (independent),scrutiny,True,business,Independent commentator whose main public role is critical analysis and oversight commentary on AI systems and labs.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_gary_marcus,Gary Marcus,is an emeritus professor at NYU and a prominent critic of deep learning (independent),scrutiny,False,,Best known publicly as a prominent critic of deep learning and AI labs.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_emily_bender,Emily Bender,"is a professor of linguistics at the University of Washington, co-author of the stochastic-parrots paper (University of Washington)",scrutiny,False,other,Academic whose public prominence comes from critique of large language models and AI harms.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_jie_tang,Jie Tang,is the chief scientist of Zhipu AI and a professor at Tsinghua University (Zhipu AI),capabilities,False,,"Chief scientist and professor leading model research at Zhipu AI, a capabilities research leadership role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_peng_zhang,Peng Zhang,"is the CEO and co-founder of Zhipu AI, which builds the GLM models (Zhipu AI)",business,False,,CEO and co-founder of an AI lab with no safety or alignment focus named.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_aohan_zeng,Aohan Zeng,is a lead researcher on the GLM models at Zhipu AI (Zhipu AI),capabilities,False,,"Lead researcher building the GLM models, a model training and capabilities role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_junyang_lin,Junyang Lin,leads the Qwen team at Alibaba (Qwen),capabilities,False,,"Leads the Qwen model team at Alibaba, a capabilities research and engineering leadership role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_jingren_zhou,Jingren Zhou,"leads the Tongyi Lab at Alibaba, which develops the Qwen models (Qwen)",capabilities,False,,"Leads Tongyi Lab developing the Qwen models, a research leadership role focused on model capabilities.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_zihan_qiu,Zihan Qiu,is a researcher on the Qwen team at Alibaba (Qwen),capabilities,False,,Researcher on the Qwen model team working on model development.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_wenfeng_liang,Wenfeng Liang,is the founder and CEO of DeepSeek (DeepSeek),business,False,,"Founder and CEO of DeepSeek, coded as business since no safety role is named.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_zhilin_yang,Zhilin Yang,"is the founder of Moonshot AI, which builds the Kimi models (Moonshot AI)",business,True,capabilities,"Founder of Moonshot AI, though he is also widely known as a model researcher.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_kaifu_lee,Kai-Fu Lee,is the founder and CEO of 01.AI and author of AI Superpowers (01.AI),business,False,,"Founder and CEO plus prominent author and commentator, a commercially and media-facing role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_robin_li,Robin Li,"is the CEO and co-founder of Baidu, which builds the Ernie models (Baidu)",business,False,,"CEO and co-founder of Baidu, a corporate executive role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_marc_andreessen,Marc Andreessen,"is the co-founder of the venture firm Andreessen Horowitz (a16z) and author of the Techno-Optimist Manifesto, a prominent advocate of rapid, unconstrained AI development (Andreessen Horowitz)",business,False,,"Venture capital co-founder whose prominence is investor- and commentary-based, advocating accelerated AI development rather than safety work.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_ben_horowitz,Ben Horowitz,is the co-founder of the venture capital firm Andreessen Horowitz (a16z) (Andreessen Horowitz),business,False,,"Co-founder of a major venture capital firm, a purely commercial role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_martin_casado,Martin Casado,is a general partner at Andreessen Horowitz focused on AI and a vocal critic of AI regulation (Andreessen Horowitz),business,True,scrutiny,"Primarily a venture capital general partner, though he is publicly vocal on AI policy as an anti-regulation critic rather than an oversight advocate.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_garry_tan,Garry Tan,is the president and CEO of Y Combinator and an advocate for 'little tech' (Y Combinator),business,False,,"President and CEO of a startup accelerator, an executive and investor role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_david_sacks,David Sacks,"is a venture capitalist and the US administration's AI and crypto czar, an opponent of AI over-regulation (Craft Ventures)",business,True,scrutiny,"Best known as a venture capitalist and entrepreneur, and although he holds a government AI policy post, his role opposes rather than advances regulatory oversight.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_vinod_khosla,Vinod Khosla,is the founder of Khosla Ventures and an early investor in OpenAI (Khosla Ventures),business,False,,"Venture firm founder and early-stage investor, a commercial role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_balaji_srinivasan,Balaji Srinivasan,"is a tech entrepreneur and investor, former CTO of Coinbase, known for techno-accelerationist views (independent)",business,False,,"Entrepreneur, investor, and former startup CTO whose prominence is commercial and commentary-driven.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_naval_ravikant,Naval Ravikant,is the co-founder of AngelList and a prominent tech investor and commentator (AngelList),business,False,,"Startup founder, investor, and widely followed commentator rather than a technical or safety figure.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_jason_calacanis,Jason Calacanis,is an angel investor and host of the All-In and This Week in Startups podcasts (Launch),business,False,,Angel investor and podcast host whose prominence is commercial and media-facing.,claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
fai2_chamath_palihapitiya,Chamath Palihapitiya,is the founder and CEO of Social Capital and a host of the All-In podcast (Social Capital),business,False,,"Investment firm founder-CEO and podcast host, a commercial and media role.",claude-code-cli:opus,dec630d007f6ae60abcfe7f9e8859f4c426f6e6217e583296bbb9a2a1a380011
